Run_ID,Status,Cover_Density,Avg_Effectiveness,Distribution_Evenness,Clustering_Score,Type_Ratio,Sightline_Exposure,Symmetry_Delta,Navigable_Area,Chokepoint_Centrality
508,PASSED,0.056,0.660,0.637,0.735,0.694,0.394,10.464,0.645,0.380
509,PASSED,0.056,0.689,0.694,0.708,0.750,0.411,9.931,0.651,0.310
510,REJECTED,0.079,0.602,0.687,0.672,0.672,0.284,2.518,0.553,0.350
511,PASSED,0.065,0.628,0.654,0.600,0.640,0.398,5.369,0.628,0.520
512,REJECTED,0.065,0.579,0.586,0.804,0.643,0.298,6.810,0.576,0.440
513,PASSED,0.051,0.627,0.609,0.830,0.596,0.442,8.759,0.653,0.330
514,PASSED,0.076,0.608,0.602,0.732,0.696,0.329,7.676,0.587,0.370
515,PASSED,0.061,0.683,0.633,0.422,0.667,0.519,6.076,0.700,0.550
516,REJECTED,0.060,0.701,0.738,0.633,0.714,0.387,20.684,0.646,0.330
517,REJECTED,0.062,0.654,0.616,0.682,0.568,0.558,16.469,0.704,0.250
518,PASSED,0.054,0.691,0.613,0.553,0.723,0.405,10.829,0.659,0.400
519,REJECTED,0.058,0.742,0.699,0.442,0.698,0.554,22.827,0.716,0.240
520,REJECTED,0.058,0.678,0.639,0.667,0.511,0.602,30.959,0.699,0.220
521,PASSED,0.052,0.696,0.748,0.556,0.600,0.610,4.110,0.718,0.200
522,PASSED,0.068,0.639,0.715,0.582,0.745,0.343,11.389,0.606,0.256
523,REJECTED,0.068,0.746,0.628,0.778,0.733,0.521,23.169,0.700,0.230
524,PASSED,0.070,0.666,0.627,0.612,0.735,0.375,10.724,0.629,0.330
525,REJECTED,0.053,0.755,0.645,0.622,0.711,0.577,15.431,0.721,0.300
526,REJECTED,0.067,0.744,0.671,0.533,0.756,0.542,23.912,0.704,0.330
527,REJECTED,0.083,0.658,0.671,0.778,0.722,0.311,23.939,0.571,0.380
528,REJECTED,0.054,0.707,0.704,0.600,0.689,0.488,33.661,0.692,0.570
529,PASSED,0.064,0.659,0.680,0.667,0.625,0.434,0.009,0.652,0.370
530,PASSED,0.076,0.639,0.677,0.700,0.640,0.349,10.081,0.594,0.410
531,REJECTED,0.055,0.707,0.633,0.556,0.644,0.593,18.681,0.713,0.330
532,REJECTED,0.074,0.731,0.710,0.542,0.750,0.393,29.407,0.632,0.250
533,PASSED,0.056,0.696,0.650,0.568,0.636,0.625,4.060,0.727,0.200
534,PASSED,0.063,0.709,0.620,0.542,0.750,0.482,0.095,0.676,0.212
535,PASSED,0.063,0.638,0.738,0.520,0.700,0.365,13.243,0.626,0.490
536,PASSED,0.060,0.672,0.716,0.409,0.568,0.547,4.269,0.698,0.230
537,REJECTED,0.076,0.613,0.636,0.709,0.691,0.314,15.565,0.578,0.919
538,REJECTED,0.076,0.688,0.687,0.808,0.769,0.312,15.487,0.598,0.520
539,REJECTED,0.065,0.656,0.721,0.706,0.725,0.399,15.345,0.637,0.310
540,PASSED,0.064,0.662,0.581,0.792,0.755,0.322,11.823,0.615,0.560
541,REJECTED,0.064,0.736,0.661,0.750,0.792,0.392,34.242,0.653,0.260
542,PASSED,0.072,0.648,0.690,0.736,0.642,0.408,9.353,0.622,0.700
543,REJECTED,0.069,0.663,0.629,0.673,0.712,0.311,23.982,0.583,0.340
544,PASSED,0.063,0.752,0.637,0.628,0.767,0.418,2.816,0.673,0.270
545,REJECTED,0.069,0.652,0.693,0.870,0.741,0.396,31.300,0.627,0.250
546,REJECTED,0.066,0.647,0.665,0.764,0.727,0.297,22.543,0.573,0.350
547,REJECTED,0.073,0.614,0.674,0.951,0.705,0.251,11.160,0.545,0.390
548,REJECTED,0.063,0.660,0.700,0.769,0.769,0.359,40.480,0.607,0.320
549,PASSED,0.060,0.706,0.650,0.636,0.659,0.605,13.318,0.719,0.370
550,REJECTED,0.068,0.733,0.658,0.457,0.674,0.515,37.612,0.687,0.450
551,PASSED,0.065,0.731,0.683,0.595,0.667,0.583,10.096,0.718,0.170
552,REJECTED,0.064,0.594,0.694,0.857,0.679,0.377,22.753,0.611,0.459
553,REJECTED,0.053,0.630,0.729,0.792,0.563,0.577,30.896,0.690,0.310
554,REJECTED,0.065,0.689,0.684,0.698,0.717,0.379,18.829,0.618,0.590
555,REJECTED,0.066,0.693,0.728,0.740,0.760,0.375,34.359,0.634,1.150
556,REJECTED,0.066,0.615,0.621,0.549,0.647,0.370,51.728,0.626,0.360
557,PASSED,0.062,0.660,0.668,0.755,0.736,0.312,4.405,0.594,0.340
558,PASSED,0.064,0.654,0.635,0.580,0.660,0.423,6.306,0.636,0.610
559,PASSED,0.068,0.728,0.687,0.604,0.729,0.447,6.288,0.669,0.470
560,REJECTED,0.076,0.665,0.676,0.635,0.750,0.331,33.907,0.603,0.300
561,PASSED,0.067,0.633,0.680,0.625,0.688,0.341,5.506,0.620,0.440
562,PASSED,0.063,0.762,0.672,0.651,0.860,0.512,1.538,0.717,0.320
563,REJECTED,0.054,0.675,0.657,0.735,0.694,0.418,31.317,0.656,0.430
564,REJECTED,0.051,0.762,0.713,0.622,0.800,0.440,24.219,0.687,0.300
565,REJECTED,0.061,0.708,0.620,0.581,0.605,0.591,29.374,0.711,0.180
566,PASSED,0.055,0.703,0.591,0.673,0.827,0.370,8.379,0.641,0.250
567,REJECTED,0.057,0.723,0.646,0.674,0.761,0.468,27.084,0.682,0.190
